Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0051.html
1978,    10,  26,   10.19591,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781026_n07_v01_n.bin
1978,    10,  28,   10.34363,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781028_n07_v01_n.bin
1978,    10,  30,   10.46621,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781030_n07_v01_n.bin
1978,    11,  01,   10.65538,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781101_n07_v01_n.bin
1978,    11,  03,   10.76997,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781103_n07_v01_n.bin
1978,    11,  05,   10.96294,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781105_n07_v01_n.bin
1978,    11,  07,   11.07076,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781107_n07_v01_n.bin
1978,    11,  09,   11.17859,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781109_n07_v01_n.bin
1978,    11,  11,   11.28640,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781111_n07_v01_n.bin
