Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2013,    10,  01,    5.79772,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131001_f17_nrt_n.bin
2013,    10,  02,    5.81952,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131002_f17_nrt_n.bin
2013,    10,  03,    5.89346,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131003_f17_nrt_n.bin
2013,    10,  04,    5.98020,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131004_f17_nrt_n.bin
2013,    10,  05,    6.15892,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131005_f17_nrt_n.bin
2013,    10,  06,    6.23333,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131006_f17_nrt_n.bin
2013,    10,  07,    6.38078,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131007_f17_nrt_n.bin
2013,    10,  08,    6.54973,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131008_f17_nrt_n.bin
2013,    10,  09,    6.61528,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131009_f17_nrt_n.bin
2013,    10,  10,    6.72772,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131010_f17_nrt_n.bin
2013,    10,  11,    6.84448,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131011_f17_nrt_n.bin
2013,    10,  12,    7.01730,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131012_f17_nrt_n.bin
2013,    10,  13,    7.17213,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131013_f17_nrt_n.bin
2013,    10,  14,    7.30335,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131014_f17_nrt_n.bin
2013,    10,  15,    7.40322,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131015_f17_nrt_n.bin
2013,    10,  16,    7.49957,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131016_f17_nrt_n.bin
2013,    10,  17,    7.66137,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131017_f17_nrt_n.bin
2013,    10,  18,    7.79125,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131018_f17_nrt_n.bin
2013,    10,  19,    7.85491,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131019_f17_nrt_n.bin
2013,    10,  20,    7.96809,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131020_f17_nrt_n.bin
2013,    10,  21,    7.99720,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131021_f17_nrt_n.bin
2013,    10,  22,    8.07025,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131022_f17_nrt_n.bin
2013,    10,  23,    8.20077,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131023_f17_nrt_n.bin
2013,    10,  24,    8.22718,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131024_f17_nrt_n.bin
2013,    10,  25,    8.35421,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131025_f17_nrt_n.bin
2013,    10,  26,    8.40468,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131026_f17_nrt_n.bin
2013,    10,  27,    8.47905,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131027_f17_nrt_n.bin
2013,    10,  28,    8.58999,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131028_f17_nrt_n.bin
2013,    10,  29,    8.73890,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131029_f17_nrt_n.bin
2013,    10,  30,    8.85508,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131030_f17_nrt_n.bin
2013,    10,  31,    8.94620,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131031_f17_nrt_n.bin
2013,    11,  01,    9.19306,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131101_f17_nrt_n.bin
2013,    11,  02,    9.23048,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131102_f17_nrt_n.bin
2013,    11,  03,    9.23471,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131103_f17_nrt_n.bin
2013,    11,  04,    9.28041,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131104_f17_nrt_n.bin
2013,    11,  05,    9.32472,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131105_f17_nrt_n.bin
2013,    11,  06,    9.33091,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131106_f17_nrt_n.bin
2013,    11,  07,    9.32406,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131107_f17_nrt_n.bin
2013,    11,  08,    9.21649,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131108_f17_nrt_n.bin
2013,    11,  09,    9.32446,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131109_f17_nrt_n.bin
2013,    11,  10,    9.49269,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131110_f17_nrt_n.bin
2013,    11,  11,    9.61579,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131111_f17_nrt_n.bin
2013,    11,  12,    9.59331,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131112_f17_nrt_n.bin
2013,    11,  13,    9.59275,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131113_f17_nrt_n.bin
2013,    11,  14,    9.62424,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131114_f17_nrt_n.bin
2013,    11,  15,    9.77041,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131115_f17_nrt_n.bin
2013,    11,  16,    9.77969,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131116_f17_nrt_n.bin
2013,    11,  17,    9.89219,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131117_f17_nrt_n.bin
2013,    11,  18,   10.09606,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131118_f17_nrt_n.bin
2013,    11,  19,   10.16076,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131119_f17_nrt_n.bin
2013,    11,  20,   10.25264,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131120_f17_nrt_n.bin
2013,    11,  21,   10.32992,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131121_f17_nrt_n.bin
2013,    11,  22,   10.39715,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131122_f17_nrt_n.bin
2013,    11,  23,   10.50210,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131123_f17_nrt_n.bin
2013,    11,  24,   10.54820,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131124_f17_nrt_n.bin
2013,    11,  25,   10.55879,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131125_f17_nrt_n.bin
2013,    11,  26,   10.71382,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131126_f17_nrt_n.bin
2013,    11,  27,   10.87791,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131127_f17_nrt_n.bin
2013,    11,  28,   10.98987,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131128_f17_nrt_n.bin
2013,    11,  29,   11.10222,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131129_f17_nrt_n.bin
2013,    11,  30,   11.14758,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131130_f17_nrt_n.bin
2013,    12,  01,   11.32527,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131201_f17_nrt_n.bin
2013,    12,  02,   11.38770,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131202_f17_nrt_n.bin
2013,    12,  03,   11.57691,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131203_f17_nrt_n.bin
2013,    12,  04,   11.75744,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131204_f17_nrt_n.bin
2013,    12,  05,   11.72921,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131205_f17_nrt_n.bin
2013,    12,  06,   11.75510,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131206_f17_nrt_n.bin
2013,    12,  07,   11.67349,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131207_f17_nrt_n.bin
2013,    12,  08,   11.72883,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131208_f17_nrt_n.bin
2013,    12,  09,   11.72747,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131209_f17_nrt_n.bin
2013,    12,  10,   11.93599,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131210_f17_nrt_n.bin
2013,    12,  11,   11.99236,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131211_f17_nrt_n.bin
2013,    12,  12,   12.14130,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131212_f17_nrt_n.bin
2013,    12,  13,   12.13165,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131213_f17_nrt_n.bin
2013,    12,  14,   12.15421,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131214_f17_nrt_n.bin
2013,    12,  15,   12.34204,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131215_f17_nrt_n.bin
2013,    12,  16,   12.23982,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131216_f17_nrt_n.bin
2013,    12,  17,   12.21522,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131217_f17_nrt_n.bin
2013,    12,  18,   12.22133,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131218_f17_nrt_n.bin
2013,    12,  19,   12.29536,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131219_f17_nrt_n.bin
2013,    12,  20,   12.25633,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131220_f17_nrt_n.bin
2013,    12,  21,   12.35393,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131221_f17_nrt_n.bin
2013,    12,  22,   12.41210,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131222_f17_nrt_n.bin
2013,    12,  23,   12.49153,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131223_f17_nrt_n.bin
2013,    12,  24,   12.48809,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131224_f17_nrt_n.bin
2013,    12,  25,   12.55024,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131225_f17_nrt_n.bin
2013,    12,  26,   12.62410,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131226_f17_nrt_n.bin
2013,    12,  27,   12.69498,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131227_f17_nrt_n.bin
2013,    12,  28,   12.84070,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131228_f17_nrt_n.bin
2013,    12,  29,   12.89493,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131229_f17_nrt_n.bin
2013,    12,  30,   12.82531,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131230_f17_nrt_n.bin
2013,    12,  31,   12.80419,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20131231_f17_nrt_n.bin
2014,    01,  01,   12.97145,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140101_f17_nrt_n.bin
2014,    01,  02,   13.06702,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140102_f17_nrt_n.bin
2014,    01,  03,   13.13399,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140103_f17_nrt_n.bin
2014,    01,  04,   13.22008,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140104_f17_nrt_n.bin
2014,    01,  05,   13.12213,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140105_f17_nrt_n.bin
2014,    01,  06,   13.11912,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140106_f17_nrt_n.bin
2014,    01,  07,   13.26344,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140107_f17_nrt_n.bin
2014,    01,  08,   13.12891,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140108_f17_nrt_n.bin
2014,    01,  09,   13.18233,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140109_f17_nrt_n.bin
2014,    01,  10,   13.34238,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140110_f17_nrt_n.bin
2014,    01,  11,   13.41733,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140111_f17_nrt_n.bin
2014,    01,  12,   13.46067,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140112_f17_nrt_n.bin
2014,    01,  13,   13.44860,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140113_f17_nrt_n.bin
2014,    01,  14,   13.46601,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140114_f17_nrt_n.bin
2014,    01,  15,   13.53458,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140115_f17_nrt_n.bin
2014,    01,  16,   13.60048,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140116_f17_nrt_n.bin
2014,    01,  17,   13.67439,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140117_f17_nrt_n.bin
2014,    01,  18,   13.70409,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140118_f17_nrt_n.bin
2014,    01,  19,   13.74561,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140119_f17_nrt_n.bin
2014,    01,  20,   13.81173,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140120_f17_nrt_n.bin
2014,    01,  21,   13.83632,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140121_f17_nrt_n.bin
2014,    01,  22,   13.96679,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140122_f17_nrt_n.bin
2014,    01,  23,   13.95071,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140123_f17_nrt_n.bin
2014,    01,  24,   13.96042,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140124_f17_nrt_n.bin
2014,    01,  25,   14.06501,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140125_f17_nrt_n.bin
2014,    01,  26,   14.22944,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140126_f17_nrt_n.bin
2014,    01,  27,   14.16120,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140127_f17_nrt_n.bin
2014,    01,  28,   14.15295,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140128_f17_nrt_n.bin
2014,    01,  29,   14.11668,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140129_f17_nrt_n.bin
2014,    01,  30,   14.13051,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140130_f17_nrt_n.bin
2014,    01,  31,   14.17294,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140131_f17_nrt_n.bin
2014,    02,  01,   14.18960,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140201_f17_nrt_n.bin
2014,    02,  02,   14.30697,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140202_f17_nrt_n.bin
2014,    02,  03,   14.22818,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140203_f17_nrt_n.bin
2014,    02,  04,   14.26444,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140204_f17_nrt_n.bin
2014,    02,  05,   14.36964,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140205_f17_nrt_n.bin
2014,    02,  06,   14.28033,    0.00000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20140206_f17_nrt_n.bin
